order_date,product_name,product_category,ram,rom,processor,display_resolution,quantity,price_each
01-01-2022,HP Laptop,Laptop,8GB,512GB,i7,FHD,1,76000
01-01-2022,HP Laptop,Laptop,16GB,512GB,Ryzen 3,FHD,1,41000
01-01-2022,HP Laptop,Laptop,16GB,1TB,i5,FHD,1,63000
01-01-2022,Asus Laptop,Laptop,16GB,512GB,i7,FHD,1,75000
01-01-2022,Dell Laptop,Laptop,16GB,1TB,i3,FHD,1,30000
01-01-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 3,FHD,1,38000
01-01-2022,HP Laptop,Laptop,16GB,1TB,i7,FHD,1,77000
01-01-2022,Asus Laptop,Laptop,8GB,512GB,i5,FHD,1,43000
01-01-2022,Asus Laptop,Laptop,8GB,512GB,Ryzen 5,4K,1,43000
02-01-2022,Dell Laptop,Laptop,16GB,512GB,Ryzen 5,FHD,1,53000
02-01-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 7,4K,1,69000
02-01-2022,Asus Laptop,Laptop,16GB,512GB,Ryzen 5,FHD,1,63000
02-01-2022,Lenovo Laptop,Laptop,8GB,512GB,Ryzen 9,4K,1,112000
02-01-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 7,FHD,1,79000
02-01-2022,HP Laptop,Laptop,16GB,512GB,i7,FHD,1,83000
02-01-2022,Lenovo Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,58000
03-01-2022,Dell Laptop,Laptop,8GB,1TB,i7,4K,1,80000
03-01-2022,Asus Laptop,Laptop,16GB,1TB,Ryzen 7,FHD,1,72000
03-01-2022,Dell Laptop,Laptop,16GB,2TB,i7,FHD,1,86000
03-01-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,47000
04-01-2022,Asus Laptop,Laptop,16GB,512GB,Ryzen 5,4K,1,57000
04-01-2022,HP Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,40000
04-01-2022,Dell Laptop,Laptop,8GB,1TB,i3,FHD,1,47000
04-01-2022,HP Laptop,Laptop,16GB,512GB,Ryzen 3,FHD,1,46000
04-01-2022,Asus Laptop,Laptop,8GB,512GB,Ryzen 5,4K,1,55000
05-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i7,4K,1,70000
05-01-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 7,FHD,1,70000
05-01-2022,HP Laptop,Laptop,16GB,512GB,Ryzen 3,FHD,1,34000
05-01-2022,Asus Laptop,Laptop,8GB,1TB,i5,FHD,1,66000
06-01-2022,Lenovo Laptop,Laptop,8GB,512GB,Ryzen 7,4K,1,61000
06-01-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 7,FHD,1,67000
06-01-2022,HP Laptop,Laptop,8GB,2TB,i5,FHD,1,46000
06-01-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,53000
06-01-2022,Asus Laptop,Laptop,8GB,1TB,i5,4K,1,61000
06-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i9,4K,1,120000
06-01-2022,HP Laptop,Laptop,16GB,1TB,i5,4K,1,55000
06-01-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,69000
07-01-2022,Dell Laptop,Laptop,8GB,512GB,Ryzen 5,FHD,1,68000
07-01-2022,Dell Laptop,Laptop,8GB,1TB,i5,4K,1,61000
07-01-2022,Dell Laptop,Laptop,16GB,512GB,i7,4K,1,73000
07-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i7,FHD,1,74000
07-01-2022,Lenovo Laptop,Laptop,16GB,512GB,Ryzen 7,FHD,1,70000
07-01-2022,Dell Laptop,Laptop,8GB,1TB,i7,4K,1,82000
07-01-2022,HP Laptop,Laptop,16GB,1TB,i7,FHD,1,77000
08-01-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 3,FHD,1,49000
08-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i5,4K,1,63000
08-01-2022,Dell Laptop,Laptop,8GB,512GB,i7,4K,1,88000
08-01-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,55000
08-01-2022,HP Laptop,Laptop,16GB,1TB,i7,FHD,1,73000
09-01-2022,HP Laptop,Laptop,8GB,512GB,i5,FHD,1,41000
09-01-2022,Dell Laptop,Laptop,16GB,512GB,Ryzen 5,FHD,1,49000
09-01-2022,Lenovo Laptop,Laptop,16GB,512GB,Ryzen 3,FHD,1,42000
09-01-2022,HP Laptop,Laptop,16GB,1TB,i7,FHD,1,64000
09-01-2022,HP Laptop,Laptop,16GB,512GB,i7,FHD,1,83000
10-01-2022,HP Laptop,Laptop,16GB,1TB,i7,FHD,1,62000
10-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i7,FHD,1,69000
10-01-2022,HP Laptop,Laptop,8GB,1TB,i7,4K,1,83000
10-01-2022,Asus Laptop,Laptop,8GB,512GB,i7,4K,1,74000
11-01-2022,Dell Laptop,Laptop,8GB,512GB,Ryzen 5,FHD,1,51000
11-01-2022,Dell Laptop,Laptop,8GB,1TB,i7,4K,1,89000
11-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i7,FHD,1,62000
11-01-2022,Dell Laptop,Laptop,16GB,512GB,i5,4K,1,52000
12-01-2022,Lenovo Laptop,Laptop,8GB,2TB,i5,FHD,1,62000
12-01-2022,Lenovo Laptop,Laptop,16GB,512GB,i3,FHD,1,30000
12-01-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 3,FHD,1,42000
12-01-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,65000
12-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i7,FHD,1,85000
12-01-2022,HP Laptop,Laptop,16GB,1TB,i7,FHD,1,77000
12-01-2022,Lenovo Laptop,Laptop,8GB,1TB,Ryzen 3,FHD,1,31000
12-01-2022,Lenovo Laptop,Laptop,16GB,512GB,i5,FHD,1,62000
13-01-2022,Dell Laptop,Laptop,8GB,512GB,i5,4K,1,63000
13-01-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 7,4K,1,63000
13-01-2022,Dell Laptop,Laptop,8GB,1TB,i7,4K,1,83000
14-01-2022,Asus Laptop,Laptop,8GB,512GB,Ryzen 3,FHD,1,46000
14-01-2022,HP Laptop,Laptop,16GB,1TB,i5,FHD,1,43000
14-01-2022,Lenovo Laptop,Laptop,8GB,512GB,Ryzen 5,FHD,1,65000
15-01-2022,HP Laptop,Laptop,32GB,512GB,i7,FHD,1,72000
15-01-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 7,4K,1,61000
15-01-2022,Lenovo Laptop,Laptop,16GB,512GB,Ryzen 5,FHD,1,66000
15-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i5,FHD,1,43000
15-01-2022,Asus Laptop,Laptop,8GB,1TB,i5,FHD,1,65000
16-01-2022,Asus Laptop,Laptop,16GB,1TB,i5,FHD,1,52000
16-01-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 3,FHD,1,49000
16-01-2022,Lenovo Laptop,Laptop,8GB,512GB,i7,4K,1,71000
16-01-2022,Lenovo Laptop,Laptop,8GB,512GB,i5,FHD,1,46000
16-01-2022,Asus Laptop,Laptop,8GB,512GB,i5,4K,1,45000
16-01-2022,Asus Laptop,Laptop,16GB,1TB,Ryzen 3,FHD,1,49000
16-01-2022,Asus Laptop,Laptop,8GB,512GB,i7,FHD,1,77000
16-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i7,FHD,1,81000
16-01-2022,HP Laptop,Laptop,16GB,512GB,i5,FHD,1,65000
17-01-2022,Lenovo Laptop,Laptop,8GB,512GB,i5,FHD,1,68000
17-01-2022,Asus Laptop,Laptop,8GB,512GB,Ryzen 3,FHD,1,41000
17-01-2022,Asus Laptop,Laptop,8GB,512GB,i5,4K,1,53000
17-01-2022,Dell Laptop,Laptop,8GB,1TB,i5,4K,1,53000
17-01-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,48000
17-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i5,FHD,1,59000
18-01-2022,HP Laptop,Laptop,8GB,512GB,Ryzen 9,4K,1,112000
18-01-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 7,FHD,1,79000
18-01-2022,Asus Laptop,Laptop,8GB,2TB,Ryzen 7,FHD,1,65000
18-01-2022,Lenovo Laptop,Laptop,8GB,512GB,Ryzen 5,FHD,1,61000
18-01-2022,Lenovo Laptop,Laptop,8GB,1TB,Ryzen 7,FHD,1,77000
18-01-2022,Asus Laptop,Laptop,8GB,512GB,i5,4K,1,56000
18-01-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,49000
18-01-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,61000
19-01-2022,Dell Laptop,Laptop,8GB,1TB,i7,FHD,1,61000
19-01-2022,HP Laptop,Laptop,8GB,512GB,i5,FHD,1,69000
19-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i5,FHD,1,60000
19-01-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 3,FHD,1,47000
19-01-2022,Lenovo Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,47000
19-01-2022,Dell Laptop,Laptop,16GB,1TB,i7,4K,1,85000
19-01-2022,HP Laptop,Laptop,16GB,512GB,i5,4K,1,49000
19-01-2022,Asus Laptop,Laptop,8GB,1TB,i5,FHD,1,61000
19-01-2022,HP Laptop,Laptop,8GB,1TB,i5,FHD,1,65000
20-01-2022,HP Laptop,Laptop,8GB,512GB,i7,FHD,1,66000
20-01-2022,HP Laptop,Laptop,16GB,512GB,i5,FHD,1,60000
20-01-2022,HP Laptop,Laptop,8GB,512GB,i5,FHD,1,45000
20-01-2022,Lenovo Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,61000
20-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i5,FHD,1,66000
20-01-2022,Dell Laptop,Laptop,16GB,512GB,i7,FHD,1,64000
20-01-2022,Lenovo Laptop,Laptop,16GB,512GB,i5,FHD,1,49000
21-01-2022,HP Laptop,Laptop,8GB,1TB,i5,4K,1,46000
21-01-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,48000
21-01-2022,Lenovo Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,49000
21-01-2022,Dell Laptop,Laptop,32GB,1TB,i7,4K,1,75000
21-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i7,FHD,1,66000
21-01-2022,Lenovo Laptop,Laptop,8GB,2TB,i7,FHD,1,69000
22-01-2022,Lenovo Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,45000
22-01-2022,HP Laptop,Laptop,8GB,1TB,i5,4K,1,45000
22-01-2022,Lenovo Laptop,Laptop,8GB,2TB,Ryzen 5,FHD,1,64000
22-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i7,FHD,1,87000
22-01-2022,Asus Laptop,Laptop,16GB,1TB,Ryzen 5,4K,1,44000
22-01-2022,Dell Laptop,Laptop,8GB,512GB,i5,FHD,1,55000
22-01-2022,HP Laptop,Laptop,8GB,1TB,i5,FHD,1,50000
22-01-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,53000
23-01-2022,Dell Laptop,Laptop,16GB,1TB,i5,FHD,1,61000
23-01-2022,Lenovo Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,44000
23-01-2022,Lenovo Laptop,Laptop,8GB,512GB,Ryzen 5,4K,1,45000
23-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i5,FHD,1,66000
23-01-2022,HP Laptop,Laptop,8GB,1TB,i9,4K,1,119000
23-01-2022,Dell Laptop,Laptop,8GB,1TB,i7,4K,1,75000
23-01-2022,Dell Laptop,Laptop,16GB,1TB,i7,FHD,1,75000
23-01-2022,Asus Laptop,Laptop,16GB,1TB,Ryzen 3,FHD,1,35000
24-01-2022,HP Laptop,Laptop,16GB,512GB,Ryzen 7,4K,1,68000
24-01-2022,Lenovo Laptop,Laptop,8GB,512GB,Ryzen 5,4K,1,41000
24-01-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,47000
25-01-2022,Asus Laptop,Laptop,16GB,512GB,i5,4K,1,55000
25-01-2022,Lenovo Laptop,Laptop,16GB,1TB,Ryzen 7,FHD,1,76000
25-01-2022,Asus Laptop,Laptop,8GB,1TB,i7,FHD,1,76000
25-01-2022,HP Laptop,Laptop,16GB,1TB,i7,FHD,1,60000
25-01-2022,Lenovo Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,64000
25-01-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,57000
25-01-2022,Asus Laptop,Laptop,16GB,1TB,i5,FHD,1,60000
25-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i5,FHD,1,59000
26-01-2022,Asus Laptop,Laptop,16GB,2TB,i3,FHD,1,36000
26-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i7,4K,1,65000
26-01-2022,Lenovo Laptop,Laptop,16GB,512GB,i7,FHD,1,75000
26-01-2022,HP Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,59000
27-01-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,66000
27-01-2022,Dell Laptop,Laptop,8GB,1TB,i7,FHD,1,61000
27-01-2022,Dell Laptop,Laptop,16GB,1TB,i5,4K,1,65000
27-01-2022,HP Laptop,Laptop,16GB,1TB,i5,4K,1,53000
27-01-2022,Dell Laptop,Laptop,32GB,1TB,i5,FHD,1,57000
28-01-2022,Lenovo Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,53000
28-01-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 9,4K,1,113000
28-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i5,FHD,1,51000
28-01-2022,HP Laptop,Laptop,8GB,512GB,Ryzen 7,4K,1,88000
28-01-2022,Asus Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,56000
28-01-2022,HP Laptop,Laptop,16GB,512GB,i5,FHD,1,56000
28-01-2022,Dell Laptop,Laptop,16GB,1TB,i7,FHD,1,81000
28-01-2022,Dell Laptop,Laptop,8GB,1TB,i7,FHD,1,89000
29-01-2022,Dell Laptop,Laptop,8GB,1TB,i5,FHD,1,47000
29-01-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 5,FHD,1,49000
29-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i5,FHD,1,44000
30-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i7,FHD,1,76000
30-01-2022,Dell Laptop,Laptop,8GB,1TB,i5,FHD,1,40000
30-01-2022,Lenovo Laptop,Laptop,16GB,512GB,i5,FHD,1,43000
30-01-2022,Asus Laptop,Laptop,8GB,1TB,Ryzen 5,4K,1,67000
30-01-2022,Asus Laptop,Laptop,16GB,1TB,i5,FHD,1,55000
30-01-2022,Lenovo Laptop,Laptop,32GB,1TB,i7,FHD,1,65000
30-01-2022,Lenovo Laptop,Laptop,16GB,1TB,i5,4K,1,48000
30-01-2022,HP Laptop,Laptop,8GB,1TB,i5,FHD,1,70000
30-01-2022,HP Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,57000
31-01-2022,HP Laptop,Laptop,8GB,2TB,i7,FHD,1,62000
31-01-2022,Lenovo Laptop,Laptop,8GB,1TB,i5,FHD,1,41000
31-01-2022,Dell Laptop,Laptop,8GB,512GB,i5,FHD,1,53000
31-01-2022,Lenovo Laptop,Laptop,8GB,512GB,Ryzen 5,FHD,1,52000
31-01-2022,Dell Laptop,Laptop,8GB,512GB,Ryzen 3,FHD,1,40000
31-01-2022,Dell Laptop,Laptop,8GB,512GB,Ryzen 7,FHD,1,86000
31-01-2022,Lenovo Laptop,Laptop,16GB,512GB,Ryzen 5,FHD,1,67000
31-01-2022,Asus Laptop,Laptop,8GB,512GB,Ryzen 5,FHD,1,48000
01-02-2022,Lenovo Laptop,Laptop,8GB,1TB,i5,4K,1,55000
01-02-2022,Dell Laptop,Laptop,16GB,512GB,i5,FHD,1,48000
01-02-2022,HP Laptop,Laptop,16GB,1TB,Ryzen 5,4K,1,46000
01-02-2022,HP Laptop,Laptop,32GB,512GB,Ryzen 7,4K,1,67000
01-02-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 5,FHD,1,54000
01-02-2022,Dell Laptop,Laptop,8GB,1TB,i5,FHD,1,55000
02-02-2022,HP Laptop,Laptop,8GB,512GB,i5,FHD,1,65000
02-02-2022,Lenovo Laptop,Laptop,16GB,512GB,Ryzen 3,FHD,1,39000
02-02-2022,Dell Laptop,Laptop,8GB,2TB,i5,4K,1,49000
02-02-2022,HP Laptop,Laptop,8GB,1TB,Ryzen 7,FHD,1,81000
02-02-2022,Dell Laptop,Laptop,16GB,1TB,Ryzen 7,FHD,1,86000
02-02-2022,Asus Laptop,Laptop,8GB,512GB,i5,4K,1,58000
02-02-2022,Dell Laptop,Laptop,8GB,1TB,Ryzen 3,FHD,1,47000
